"Faixa Etaria 1";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"0 a 4 anos";813774;805160;797458;789221;785149;786151;787457;789398;795045;797644;795839;795350;792797;785656;779817
"5 a 9 anos";883132;862695;843881;829201;812265;800196;791719;784326;776648;772911;774259;775886;778181;784190;787114
"10 a 14 anos";862269;873278;880126;879420;878949;868956;854946;842617;834429;817514;805589;797279;790079;782675;779315
"15 a 19 anos";903321;880650;863348;853843;859262;871212;886366;898948;905187;904674;894418;880005;867374;859068;841885
"20 a 29 anos";2097734;2103671;2102531;2094535;2064535;2025738;1981855;1937934;1897157;1880057;1865477;1852840;1840611;1827398;1832490
"30 a 39 anos";1836048;1863014;1892613;1924720;1953963;1985463;2016924;2044988;2067184;2073835;2075468;2071238;2060804;2044135;2015873
"40 a 49 anos";1538845;1553493;1565961;1576878;1594969;1611819;1628664;1647197;1668461;1692987;1720140;1749690;1781500;1815242;1845307
"50 a 59 anos";1128039;1163826;1198623;1232271;1260153;1286782;1311886;1335040;1356023;1376993;1396012;1413217;1428988;1443722;1463257
"60 a 69 anos";657244;680395;706366;735188;767663;802480;839059;876552;914356;948621;982987;1017048;1050511;1083124;1110842
"70 a 79 anos";385809;394862;404223;413760;423657;434058;445474;458612;473927;492877;513814;536842;562093;589507;618561
"80 anos e mais";168135;179727;193757;207217;216452;225709;235056;244673;254620;264803;275884;287471;299085;310515;321911
"Total";11274350;11360771;11448887;11536254;11617017;11698564;11779406;11860285;11943037;12022916;12099887;12176866;12252023;12325232;12396372
